content_type,url,status,final_url,indexable,robots,canonical,self_canonical,declared_language,body_language_heuristic,hreflang_count,hreflang_targets,hreflang_targets_200,hreflang_reciprocal,word_count,similarity_to_english,gsc_clicks,gsc_impressions,gsc_last_crawled,error
site-page,https://geekskai.com/,200,https://geekskai.com/,yes,"index, follow",https://geekskai.com/,yes,en,en,11,x-default:https://geekskai.com/ | en:https://geekskai.com/ | ar:https://geekskai.com/ar/ | de:https://geekskai.com/de/ | fr:https://geekskai.com/fr/ | es:https://geekskai.com/es/ | ja:https://geekskai.com/ja/ | ko:https://geekskai.com/ko/ | no:https://geekskai.com/no/ | zh-cn:https://geekskai.com/zh-cn/ | da:https://geekskai.com/da/,yes,yes,348,,,,,
blog,https://geekskai.com/blog/,200,https://geekskai.com/blog/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/,yes,en,en,1,x-default:https://geekskai.com/blog/,yes,yes,315,,,,,
site-page,https://geekskai.com/projects/,200,https://geekskai.com/projects/,yes,"index, follow",https://geekskai.com/projects/,yes,en,en,11,x-default:https://geekskai.com/projects/ | en:https://geekskai.com/projects/ | ar:https://geekskai.com/ar/projects/ | de:https://geekskai.com/de/projects/ | fr:https://geekskai.com/fr/projects/ | es:https://geekskai.com/es/projects/ | ja:https://geekskai.com/ja/projects/ | ko:https://geekskai.com/ko/projects/ | no:https://geekskai.com/no/projects/ | zh-cn:https://geekskai.com/zh-cn/projects/ | da:https://geekskai.com/da/projects/,yes,yes,85,,,,,
site-page,https://geekskai.com/tags/,200,https://geekskai.com/tags/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/tags/,yes,en,unknown,0,,unknown,unknown,945,,,,,
site-page,https://geekskai.com/about/,200,https://geekskai.com/about/,yes,"index, follow",https://geekskai.com/about/,yes,en,en,2,x-default:https://geekskai.com/about/ | en:https://geekskai.com/about/,yes,yes,326,,,,,
site-page,https://geekskai.com/pricing/,200,https://geekskai.com/pricing/,yes,"index, follow",https://geekskai.com/pricing/,yes,en,en,2,x-default:https://geekskai.com/pricing/ | en:https://geekskai.com/pricing/,yes,yes,349,,,,,
site-page,https://geekskai.com/audio-toolkit/,200,https://geekskai.com/audio-toolkit/,yes,"index, follow",https://geekskai.com/audio-toolkit/,yes,en,en,2,x-default:https://geekskai.com/audio-toolkit/ | en:https://geekskai.com/audio-toolkit/,yes,yes,146,,,,,
site-page,https://geekskai.com/privacy/,200,https://geekskai.com/privacy/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/privacy/,yes,en,en,1,x-default:https://geekskai.com/privacy/,yes,yes,1219,,,,,
site-page,https://geekskai.com/terms/,200,https://geekskai.com/terms/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/terms/,yes,en,en,1,x-default:https://geekskai.com/terms/,yes,yes,1111,,,,,
site-page,https://geekskai.com/llms.txt,200,https://geekskai.com/llms.txt,no,"index,follow (implicit)",,no,,en,0,,unknown,unknown,275,,,,,
site-page,https://geekskai.com/pricing.txt,200,https://geekskai.com/pricing.txt,no,"index,follow (implicit)",,no,,en,0,,unknown,unknown,225,,,,,
blog,https://geekskai.com/blog/ai/how-ai-is-helping-developers-build-more-global-applications/,200,https://geekskai.com/blog/ai/how-ai-is-helping-developers-build-more-global-applications/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/how-ai-is-helping-developers-build-more-global-applications/,yes,en,unknown,0,,unknown,unknown,23,,,,,
blog,https://geekskai.com/blog/audio/how-to-normalize-audio-loudness-lufs/,200,https://geekskai.com/blog/audio/how-to-normalize-audio-loudness-lufs/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/audio/how-to-normalize-audio-loudness-lufs/,yes,en,unknown,0,,unknown,unknown,25,,,,,
blog,https://geekskai.com/blog/software/best-ehs-software-in-2026/,200,https://geekskai.com/blog/software/best-ehs-software-in-2026/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/software/best-ehs-software-in-2026/,yes,en,unknown,0,,unknown,unknown,19,,,,,
blog,https://geekskai.com/blog/ai/ai-song-generator-for-digital-media/,200,https://geekskai.com/blog/ai/ai-song-generator-for-digital-media/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/ai-song-generator-for-digital-media/,yes,en,unknown,0,,unknown,unknown,26,,,,,
blog,https://geekskai.com/blog/ai/best-ai-face-swap-video-tools-of-2026/,200,https://geekskai.com/blog/ai/best-ai-face-swap-video-tools-of-2026/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/best-ai-face-swap-video-tools-of-2026/,yes,en,unknown,0,,unknown,unknown,22,,,,,
blog,https://geekskai.com/blog/ai/ai-song-generator-for-vlog-bgm/,200,https://geekskai.com/blog/ai/ai-song-generator-for-vlog-bgm/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/ai/ai-song-generator-for-vlog-bgm/,yes,en,unknown,0,,unknown,unknown,27,,,,,
blog,https://geekskai.com/blog/technology/10-best-video-to-video-ai-tools-for-creators-working-with-existing-footage/,200,https://geekskai.com/blog/technology/10-best-video-to-video-ai-tools-for-creators-working-with-existing-footage/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/technology/10-best-video-to-video-ai-tools-for-creators-working-with-existing-footage/,yes,en,unknown,0,,unknown,unknown,27,,,,,
blog,https://geekskai.com/blog/technology/top-computer-science-skills-you-need-to-succeed-in-2026/,200,https://geekskai.com/blog/technology/top-computer-science-skills-you-need-to-succeed-in-2026/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/technology/top-computer-science-skills-you-need-to-succeed-in-2026/,yes,en,unknown,0,,unknown,unknown,24,,,,,
blog,https://geekskai.com/blog/technology/how-smart-cities-are-using-license-plate-reader-software/,200,https://geekskai.com/blog/technology/how-smart-cities-are-using-license-plate-reader-software/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/technology/how-smart-cities-are-using-license-plate-reader-software/,yes,en,unknown,0,,unknown,unknown,23,,,,,
blog,https://geekskai.com/blog/tools/how-to-convert-soundcloud-to-mp3/,200,https://geekskai.com/blog/tools/how-to-convert-soundcloud-to-mp3/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/tools/how-to-convert-soundcloud-to-mp3/,yes,en,unknown,0,,unknown,unknown,27,,,,,
blog,https://geekskai.com/blog/tools/26-best-free-developer-tools/,200,https://geekskai.com/blog/tools/26-best-free-developer-tools/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/tools/26-best-free-developer-tools/,yes,en,unknown,0,,unknown,unknown,24,,,,,
blog,https://geekskai.com/blog/technology/7-leading-python-programming-courses-you-should-take-in-2026/,200,https://geekskai.com/blog/technology/7-leading-python-programming-courses-you-should-take-in-2026/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/technology/7-leading-python-programming-courses-you-should-take-in-2026/,yes,en,unknown,0,,unknown,unknown,24,,,,,
blog,https://geekskai.com/blog/technology/top-7-technology-and-analytics-leadership-programs-in-2026/,200,https://geekskai.com/blog/technology/top-7-technology-and-analytics-leadership-programs-in-2026/,yes,"index, follow; index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",https://geekskai.com/blog/technology/top-7-technology-and-analytics-leadership-programs-in-2026/,yes,en,unknown,0,,unknown,unknown,23,,,,,
